week_start_date,sku_id,outlet_id,units_sold,returns,promotional_flag
2021-01-04,SKU-001,OL-027,31,0,0
2021-01-04,SKU-001,OL-229,37,0,0
2021-01-04,SKU-001,OL-126,26,0,0
2021-01-04,SKU-001,OL-279,35,0,0
2021-01-04,SKU-001,OL-189,39,0,0
2021-01-04,SKU-001,OL-134,27,0,0
2021-01-04,SKU-001,OL-207,29,0,0
2021-01-04,SKU-001,OL-002,32,0,0
2021-01-04,SKU-001,OL-185,35,0,0
2021-01-04,SKU-001,OL-080,29,0,0
2021-01-04,SKU-001,OL-042,32,0,0
2021-01-04,SKU-001,OL-236,27,0,0
2021-01-04,SKU-001,OL-108,35,0,0
2021-01-04,SKU-001,OL-070,35,0,0
2021-01-04,SKU-001,OL-035,29,0,0
2021-01-11,SKU-001,OL-301,36,0,0
2021-01-11,SKU-001,OL-039,25,0,0
2021-01-11,SKU-001,OL-213,29,0,0
2021-01-11,SKU-001,OL-155,30,0,0
2021-01-11,SKU-001,OL-045,34,0,0
2021-01-11,SKU-001,OL-179,44,0,0
2021-01-11,SKU-001,OL-211,24,0,0
2021-01-11,SKU-001,OL-208,19,0,0
2021-01-11,SKU-001,OL-100,31,0,0
2021-01-11,SKU-001,OL-013,39,0,0
2021-01-11,SKU-001,OL-101,29,0,0
2021-01-11,SKU-001,OL-196,26,0,0
2021-01-11,SKU-001,OL-103,0,0,0
2021-01-11,SKU-001,OL-120,37,0,0
2021-01-11,SKU-001,OL-263,38,0,0
2021-01-18,SKU-001,OL-319,30,0,0
2021-01-18,SKU-001,OL-088,40,0,0
2021-01-18,SKU-001,OL-138,30,0,0
2021-01-18,SKU-001,OL-187,30,0,0
2021-01-18,SKU-001,OL-060,37,0,0
2021-01-18,SKU-001,OL-213,41,0,0
2021-01-18,SKU-001,OL-253,25,0,0
2021-01-18,SKU-001,OL-293,38,0,0
2021-01-18,SKU-001,OL-046,38,0,0
2021-01-18,SKU-001,OL-314,33,0,0
2021-01-18,SKU-001,OL-231,30,0,0
2021-01-18,SKU-001,OL-205,42,0,0
2021-01-18,SKU-001,OL-063,31,0,0
2021-01-18,SKU-001,OL-294,28,0,0
2021-01-18,SKU-001,OL-224,29,0,0
2021-01-25,SKU-001,OL-304,35,0,0
2021-01-25,SKU-001,OL-141,39,0,0
2021-01-25,SKU-001,OL-074,0,0,0
2021-01-25,SKU-001,OL-101,30,0,0
2021-01-25,SKU-001,OL-177,28,0,0
2021-01-25,SKU-001,OL-133,32,0,0
2021-01-25,SKU-001,OL-252,25,0,0
2021-01-25,SKU-001,OL-290,45,0,0
2021-01-25,SKU-001,OL-042,33,0,0
2021-01-25,SKU-001,OL-109,31,0,0
2021-01-25,SKU-001,OL-026,48,0,0
2021-01-25,SKU-001,OL-081,33,0,0
2021-01-25,SKU-001,OL-251,29,0,0
2021-01-25,SKU-001,OL-298,35,0,0
2021-01-25,SKU-001,OL-067,0,0,0
2021-02-01,SKU-001,OL-156,0,0,0
2021-02-01,SKU-001,OL-075,26,0,0
2021-02-01,SKU-001,OL-060,36,0,0
2021-02-01,SKU-001,OL-058,28,0,0
2021-02-01,SKU-001,OL-268,31,0,0
2021-02-01,SKU-001,OL-257,35,0,0
2021-02-01,SKU-001,OL-174,24,0,0
2021-02-01,SKU-001,OL-132,30,0,0
2021-02-01,SKU-001,OL-306,36,0,0
2021-02-01,SKU-001,OL-059,33,0,0
2021-02-01,SKU-001,OL-076,35,0,0
2021-02-01,SKU-001,OL-198,36,0,0
2021-02-01,SKU-001,OL-167,44,0,0
2021-02-01,SKU-001,OL-298,30,0,0
2021-02-01,SKU-001,OL-172,43,0,0
2021-02-08,SKU-001,OL-223,29,0,0
2021-02-08,SKU-001,OL-198,39,0,0
2021-02-08,SKU-001,OL-171,33,0,0
2021-02-08,SKU-001,OL-132,24,0,0
2021-02-08,SKU-001,OL-290,42,0,0
2021-02-08,SKU-001,OL-126,30,0,0
2021-02-08,SKU-001,OL-131,41,0,0
2021-02-08,SKU-001,OL-237,35,0,0
2021-02-08,SKU-001,OL-262,35,0,0
2021-02-08,SKU-001,OL-055,24,0,0
2021-02-08,SKU-001,OL-076,34,0,0
2021-02-08,SKU-001,OL-211,36,0,0
2021-02-08,SKU-001,OL-265,37,0,0
2021-02-08,SKU-001,OL-281,30,0,0
2021-02-08,SKU-001,OL-264,36,0,0
2021-02-15,SKU-001,OL-205,36,0,0
2021-02-15,SKU-001,OL-242,24,0,0
2021-02-15,SKU-001,OL-159,29,0,0
2021-02-15,SKU-001,OL-009,41,0,0
2021-02-15,SKU-001,OL-233,38,0,0
2021-02-15,SKU-001,OL-049,34,0,0
2021-02-15,SKU-001,OL-279,27,0,0
2021-02-15,SKU-001,OL-191,29,0,0
2021-02-15,SKU-001,OL-113,35,0,0
2021-02-15,SKU-001,OL-120,43,0,0
2021-02-15,SKU-001,OL-058,32,0,0
2021-02-15,SKU-001,OL-040,29,0,0
2021-02-15,SKU-001,OL-175,40,0,0
2021-02-15,SKU-001,OL-207,27,0,0
2021-02-15,SKU-001,OL-152,44,0,0
2021-02-22,SKU-001,OL-224,34,0,0
2021-02-22,SKU-001,OL-183,26,0,0
2021-02-22,SKU-001,OL-237,41,0,0
2021-02-22,SKU-001,OL-243,36,0,0
2021-02-22,SKU-001,OL-205,31,0,0
2021-02-22,SKU-001,OL-162,33,0,0
2021-02-22,SKU-001,OL-160,39,0,0
2021-02-22,SKU-001,OL-110,36,0,0
2021-02-22,SKU-001,OL-293,41,0,0
2021-02-22,SKU-001,OL-181,31,0,0
2021-02-22,SKU-001,OL-306,34,0,0
2021-02-22,SKU-001,OL-085,32,0,0
2021-02-22,SKU-001,OL-284,29,0,0
2021-02-22,SKU-001,OL-291,16,0,0
2021-02-22,SKU-001,OL-052,39,0,0
2021-03-01,SKU-001,OL-153,25,0,0
2021-03-01,SKU-001,OL-287,38,0,0
2021-03-01,SKU-001,OL-052,35,0,0
2021-03-01,SKU-001,OL-105,34,0,0
2021-03-01,SKU-001,OL-041,33,0,0
2021-03-01,SKU-001,OL-066,0,0,0
2021-03-01,SKU-001,OL-028,32,0,0
2021-03-01,SKU-001,OL-184,39,0,0
2021-03-01,SKU-001,OL-311,31,0,0
2021-03-01,SKU-001,OL-126,26,0,0
2021-03-01,SKU-001,OL-029,0,0,0
2021-03-01,SKU-001,OL-284,36,0,0
2021-03-01,SKU-001,OL-294,34,0,0
2021-03-01,SKU-001,OL-267,32,0,0
2021-03-01,SKU-001,OL-120,30,0,0
2021-03-08,SKU-001,OL-228,19,0,0
2021-03-08,SKU-001,OL-010,40,0,0
2021-03-08,SKU-001,OL-236,33,0,0
2021-03-08,SKU-001,OL-083,33,0,0
2021-03-08,SKU-001,OL-255,27,0,0
2021-03-08,SKU-001,OL-134,31,0,0
2021-03-08,SKU-001,OL-072,35,0,0
2021-03-08,SKU-001,OL-015,31,0,0
2021-03-08,SKU-001,OL-024,33,0,0
2021-03-08,SKU-001,OL-179,36,0,0
2021-03-08,SKU-001,OL-028,22,0,0
2021-03-08,SKU-001,OL-094,45,0,0
2021-03-08,SKU-001,OL-151,31,0,0
2021-03-08,SKU-001,OL-003,32,0,0
2021-03-08,SKU-001,OL-227,45,0,0
2021-03-15,SKU-001,OL-042,27,0,0
2021-03-15,SKU-001,OL-014,24,0,0
2021-03-15,SKU-001,OL-085,24,0,0
2021-03-15,SKU-001,OL-286,22,0,0
2021-03-15,SKU-001,OL-268,40,0,0
2021-03-15,SKU-001,OL-104,39,0,0
2021-03-15,SKU-001,OL-061,25,0,0
2021-03-15,SKU-001,OL-138,35,0,0
2021-03-15,SKU-001,OL-293,37,0,0
2021-03-15,SKU-001,OL-035,29,0,0
2021-03-15,SKU-001,OL-139,37,0,0
2021-03-15,SKU-001,OL-040,31,0,0
